4.83, 4, white, Entry
4.83, 4, white, Exit
4.83, 3, white, Entry
4.83, 3, white, Exit
4.83, 4, white, Entry
4.87, 4, white, Exit
4.87, 1, white, Entry
4.87, 1, white, Exit
4.87, 4, white, Entry
4.87, 4, white, Exit
4.87, 3, white, Entry
4.87, 3, white, Exit
4.87, 4, white, Entry
4.9, 4, white, Exit
4.9, 1, white, Entry
4.9, 1, white, Exit
4.9, 4, white, Entry
4.9, 4, white, Exit
4.9, 3, white, Entry
4.9, 3, white, Exit
4.9, 4, white, Entry
4.9, 4, white, Exit
4.9, 3, white, Entry
4.9, 3, white, Exit
4.9, 4, white, Entry
4.93, 4, white, Exit
4.93, 1, white, Entry
4.93, 1, white, Exit
4.93, 4, white, Entry
4.93, 4, white, Exit
4.93, 3, white, Entry
4.93, 3, white, Exit
4.93, 4, white, Entry
4.97, 4, white, Exit
4.97, 1, white, Entry
4.97, 1, white, Exit
4.97, 4, white, Entry
4.97, 4, white, Exit
4.97, 3, white, Entry
5.0, 3, white, Exit
5.0, 1, white, Entry
5.0, 1, white, Exit
5.0, 4, white, Entry
5.0, 4, white, Exit
5.0, 3, white, Entry
5.0, 3, white, Exit
5.0, 4, white, Entry
5.0, 4, white, Exit
5.0, 3, white, Entry
5.0, 3, white, Exit
5.0, 4, white, Entry
5.03, 4, white, Exit
5.03, 1, white, Entry
5.03, 1, white, Exit
5.03, 4, white, Entry
5.03, 4, white, Exit
5.03, 3, white, Entry
5.03, 3, white, Exit
5.03, 4, white, Entry
5.07, 4, white, Exit
5.07, 1, white, Entry
5.07, 1, white, Exit
5.07, 4, white, Entry
5.07, 4, white, Exit
5.07, 3, white, Entry
5.07, 3, white, Exit
5.07, 4, white, Entry
5.1, 4, white, Exit
5.1, 1, white, Entry
5.1, 1, white, Exit
5.1, 4, white, Entry
5.1, 4, white, Exit
5.1, 3, white, Entry
5.1, 3, white, Exit
5.1, 4, white, Entry
5.1, 4, white, Exit
5.1, 3, white, Entry
5.1, 3, white, Exit
5.1, 4, white, Entry
5.13, 4, white, Exit
5.13, 1, white, Entry
5.13, 1, white, Exit
5.13, 4, white, Entry
5.17, 4, white, Exit
5.17, 1, white, Entry
5.17, 1, white, Exit
5.17, 4, white, Entry
5.17, 4, white, Exit
5.17, 3, white, Entry
5.17, 3, white, Exit
5.17, 4, white, Entry
5.17, 4, white, Exit
5.17, 3, white, Entry
5.17, 3, white, Exit
5.17, 4, white, Entry
5.2, 4, white, Exit
5.2, 1, white, Entry
5.2, 1, white, Exit
5.2, 4, white, Entry
5.2, 4, white, Exit
5.2, 3, white, Entry
5.2, 3, white, Exit
5.2, 4, white, Entry
5.2, 4, white, Exit
5.2, 3, white, Entry
5.2, 3, white, Exit
5.2, 4, white, Entry
5.23, 4, white, Exit
5.23, 1, white, Entry
5.23, 1, white, Exit
5.23, 4, white, Entry
5.23, 4, white, Exit
5.23, 3, white, Entry
5.23, 3, white, Exit
5.23, 4, white, Entry
5.23, 4, white, Exit
5.23, 3, white, Entry
5.23, 3, white, Exit
5.23, 4, white, Entry
5.27, 4, white, Exit
5.27, 1, white, Entry
5.27, 1, white, Exit
5.27, 4, white, Entry
5.27, 4, white, Exit
5.27, 3, white, Entry
5.27, 3, white, Exit
5.27, 4, white, Entry
5.27, 4, white, Exit
5.27, 3, white, Entry
5.27, 3, white, Exit
5.27, 4, white, Entry
5.3, 4, white, Exit
5.3, 1, white, Entry
5.3, 1, white, Exit
5.3, 4, white, Entry
5.3, 4, white, Exit
5.3, 3, white, Entry
5.3, 3, white, Exit
5.3, 4, white, Entry
5.3, 4, white, Exit
5.3, 3, white, Entry
5.3, 3, white, Exit
5.3, 4, white, Entry
5.33, 4, white, Exit
5.33, 1, white, Entry
5.33, 1, white, Exit
5.33, 4, white, Entry
5.33, 4, white, Exit
5.33, 3, white, Entry
5.33, 3, white, Exit
5.33, 4, white, Entry
5.33, 4, white, Exit
5.33, 3, white, Entry
5.33, 3, white, Exit
5.33, 4, white, Entry
5.37, 4, white, Exit
5.37, 1, white, Entry
5.37, 1, white, Exit
5.37, 4, white, Entry
5.37, 4, white, Exit
5.37, 3, white, Entry
5.37, 3, white, Exit
5.37, 4, white, Entry
5.37, 4, white, Exit
5.37, 3, white, Entry
5.37, 3, white, Exit
5.37, 4, white, Entry
5.37, 4, white, Exit
5.37, 3, white, Entry
5.37, 3, white, Exit
5.37, 4, white, Entry
5.4, 4, white, Exit
5.4, 1, white, Entry
5.4, 1, white, Exit
5.4, 4, white, Entry
5.4, 4, white, Exit
5.4, 3, white, Entry
5.4, 3, white, Exit
5.4, 4, white, Entry
5.4, 4, white, Exit
5.4, 3, white, Entry
5.4, 3, white, Exit
5.4, 4, white, Entry
5.43, 4, white, Exit
5.43, 1, white, Entry
5.43, 1, white, Exit
5.43, 4, white, Entry
5.43, 4, white, Exit
5.43, 3, white, Entry
5.43, 3, white, Exit
5.43, 4, white, Entry
5.43, 4, white, Exit
5.43, 3, white, Entry
5.43, 3, white, Exit
5.43, 4, white, Entry
5.47, 4, white, Exit
5.47, 1, white, Entry
5.47, 1, white, Exit
5.47, 4, white, Entry
5.47, 4, white, Exit
5.47, 3, white, Entry
5.47, 3, white, Exit
5.47, 4, white, Entry
5.47, 4, white, Exit
5.47, 3, white, Entry
5.47, 3, white, Exit
5.47, 4, white, Entry
5.5, 4, white, Exit
5.5, 1, white, Entry
5.5, 1, white, Exit
5.5, 4, white, Entry
5.5, 4, white, Exit
5.5, 3, white, Entry
5.5, 3, white, Exit
5.5, 4, white, Entry
5.5, 4, white, Exit
5.5, 3, white, Entry
5.5, 3, white, Exit
5.5, 4, white, Entry
5.53, 4, white, Exit
5.53, 1, white, Entry
5.53, 1, white, Exit
5.53, 4, white, Entry
5.53, 4, white, Exit
5.53, 3, white, Entry
5.53, 3, white, Exit
5.53, 4, white, Entry
5.53, 4, white, Exit
5.53, 3, white, Entry
5.53, 3, white, Exit
5.53, 4, white, Entry
5.57, 4, white, Exit
5.57, 1, white, Entry
5.57, 1, white, Exit
5.57, 4, white, Entry
5.57, 4, white, Exit
5.57, 3, white, Entry
5.57, 3, white, Exit
5.57, 4, white, Entry
5.57, 4, white, Exit
5.57, 3, white, Entry
5.57, 3, white, Exit
5.57, 4, white, Entry
5.6, 4, white, Exit
5.6, 1, white, Entry
5.6, 1, white, Exit
5.6, 4, white, Entry
5.6, 4, white, Exit
5.6, 3, white, Entry
5.6, 3, white, Exit
5.6, 4, white, Entry
5.6, 4, white, Exit
5.6, 3, white, Entry
5.6, 3, white, Exit
5.6, 4, white, Entry
5.63, 4, white, Exit
5.63, 1, white, Entry
5.63, 1, white, Exit
5.63, 4, white, Entry
5.63, 4, white, Exit
5.63, 3, white, Entry
5.63, 3, white, Exit
5.63, 4, white, Entry
5.63, 4, white, Exit
5.63, 3, white, Entry
5.63, 3, white, Exit
5.63, 4, white, Entry
5.67, 4, white, Exit
5.67, 1, white, Entry
5.67, 1, white, Exit
5.67, 4, white, Entry
5.67, 4, white, Exit
5.67, 3, white, Entry
5.67, 3, white, Exit
5.67, 4, white, Entry
5.67, 4, white, Exit
5.67, 3, white, Entry
5.67, 3, white, Exit
5.67, 4, white, Entry
5.7, 4, white, Exit
5.7, 1, white, Entry
5.7, 1, white, Exit
5.7, 4, white, Entry
5.7, 4, white, Exit
5.7, 3, white, Entry
5.7, 3, white, Exit
5.7, 4, white, Entry
5.7, 4, white, Exit
5.7, 3, white, Entry
5.7, 3, white, Exit
5.7, 4, white, Entry
5.7, 4, white, Exit
5.7, 3, white, Entry
5.7, 3, white, Exit
5.7, 4, white, Entry
5.73, 4, white, Exit
5.73, 1, white, Entry
5.73, 1, white, Exit
5.73, 4, white, Entry
5.73, 4, white, Exit
5.73, 3, white, Entry
5.73, 3, white, Exit
5.73, 4, white, Entry
5.73, 4, white, Exit
5.73, 3, white, Entry
5.73, 3, white, Exit
5.73, 4, white, Entry
5.77, 4, white, Exit
5.77, 1, white, Entry
5.77, 1, white, Exit
5.77, 4, white, Entry
5.77, 4, white, Exit
5.77, 3, white, Entry
5.77, 3, white, Exit
